"","car_id","car_name","parent_id","parent_name"
"1",231,"1 series",11,"BMW"
"2",190,"10",7,"Aro"
"3",1318,"10",96,"Renault"
"4",205,"100",10,"Audi"
"5",1363,"100",99,"Rover"
"6",948,"1000",74,"Maruti"
"7",1247,"1007",91,"Peugeot"
"8",2222,"100D",79,"Mercedes-Benz"
"9",1115,"100NX",85,"Nissan"
"10",1421,"105, 120",108,"Skoda"
"11",1248,"106",91,"Peugeot"
"12",1249,"107",91,"Peugeot"
"13",1319,"11",96,"Renault"
"14",1734,"1111",132,"¬¿«"
"15",1808,"1111",136,"—Â¿«"
"16",1809,"1111",137," ¿Ã¿«"
"17",2230,"111740",132,"¬¿«"
"18",2051,"11193 (¬¿«)",132,"¬¿«"
"19",1821,"114",139,"«»À"
"20",1822,"115",139,"«»À"
"21",2181,"116i",11,"BMW"
"22",1823,"117",139,"«»À"
"23",2187,"118i",11,"BMW"
"24",1767,"12 / «»Ã",134,"√¿«"
"25",969,"121",77,"Mazda"
"26",572,"124",39,"Fiat"
"27",573,"126",39,"Fiat"
"28",574,"127",39,"Fiat"
"29",1768,"13",134,"√¿«"
"30",1824,"130",139,"«»À"
"31",1835,"1302",141,"À”¿«"
"32",425,"1304",25,"Dacia"
"33",1506,"1307-1510",115,"Talbot"
"34",575,"131",39,"Fiat"
"35",426,"1310",25,"Dacia"
"36",427,"1325",25,"Dacia"
"37",1320,"14",96,"Renault"
"38",1769,"14",134,"√¿«"
"39",1689,"140",125,"Volvo"
"40",428,"1410",25,"Dacia"
"41",163,"145",5,"Alfa Romeo"
"42",164,"146",5,"Alfa Romeo"
"43",165,"147",5,"Alfa Romeo"
"44",166,"155",5,"Alfa Romeo"
"45",167,"156",5,"Alfa Romeo"
"46",168,"159",5,"Alfa Romeo"
"47",169,"164",5,"Alfa Romeo"
"48",1690,"164",125,"Volvo"
"49",170,"166",5,"Alfa Romeo"
"50",1770,"17310",134,"√¿«"
"51",1321,"18",96,"Renault"
"52",1116,"180SX",85,"Nissan"
"53",1322,"19",96,"Renault"
"54",1735,"1922",132,"¬¿«"
"55",970,"2",77,"Mazda"
"56",206,"200",10,"Audi"
"57",1364,"200",99,"Rover"
"58",1117,"200SX",85,"Nissan"
"59",1250,"204",91,"Peugeot"
"60",1251,"205",91,"Peugeot"
"61",681,"206",43,"Geo"
"62",1252,"206",91,"Peugeot"
"63",1253,"207",91,"Peugeot"
"64",544,"208",38,"Ferrari"
"65",1323,"21",96,"Renault"
"66",1771,"21",134,"√¿«"
"67",1736,"2101",132,"¬¿«"
"68",2047,"21011 ",132,"¬¿«"
"69",1737,"2102",132,"¬¿«"
"70",1738,"2103",132,"¬¿«"
"71",1739,"2104",132,"¬¿«"
"72",2117,"21043",132,"¬¿«"
"73",1740,"2105",132,"¬¿«"
"74",2128,"21053",132,"¬¿«"
"75",2185,"210540",132,"¬¿«"
"76",1741,"2106",132,"¬¿«"
"77",1955,"21060",132,"¬¿«"
"78",1966,"21063 ",132,"¬¿«"
"79",1742,"2107",132,"¬¿«"
"80",1743,"2108",132,"¬¿«"
"81",1744,"2109",132,"¬¿«"
"82",1883,"21093",132,"¬¿«"
"83",1745,"21099",132,"¬¿«"
"84",1746,"2110",132,"¬¿«"
"85",1747,"2111",132,"¬¿«"
"86",1748,"2112",132,"¬¿«"
"87",1749,"2113",132,"¬¿«"
"88",1750,"2114",132,"¬¿«"
"89",1988,"21140",132,"¬¿«"
"90",1751,"2115",132,"¬¿«"
"91",2126,"21150",132,"¬¿«"
"92",1829,"2117",140,"»∆"
"93",1752,"2120",132,"¬¿«"
"94",1753,"2121",132,"¬¿«"
"95",2282,"21213",132,"¬¿«"
"96",2132,"21214",132,"¬¿«"
"97",1754,"2123",132,"¬¿«"
"98",1830,"2125",140,"»∆"
"99",1842,"2125",142,"ÃÓÒÍ‚Ë˜"
"100",1831,"2126 / Œ‰‡",140,"»∆"
"101",1755,"2129",132,"¬¿«"
"102",1365,"213",99,"Rover"
"103",1756,"2131",132,"¬¿«"
"104",2229,"2134",142,"ÃÓÒÍ‚Ë˜"
"105",1843,"2135",142,"ÃÓÒÍ‚Ë˜"
"106",1844,"2137",142,"ÃÓÒÍ‚Ë˜"
"107",1845,"2138",142,"ÃÓÒÍ‚Ë˜"
"108",1846,"2140",142,"ÃÓÒÍ‚Ë˜"
"109",1847,"2141",142,"ÃÓÒÍ‚Ë˜"
"110",2264,"21412",142,"ÃÓÒÍ‚Ë˜"
"111",2144,"21–",134,"√¿«"
"112",1772,"22",134,"√¿«"
"113",1862,"2206",143,"”¿«"
"114",1949,"220606 ",143,"”¿«"
"115",2283,"22069",143,"”¿«"
"116",1773,"2217",134,"√¿«"
"117",1774,"22171",134,"√¿«"
"118",954,"228",75,"Maserati"
"119",1775,"2308",134,"√¿«"
"120",1889,"230GE",88,"Steyr-Daimler-Puch"
"121",1776,"2310",134,"√¿«"
"122",1757,"2328",132,"¬¿«"
"123",1758,"2329",132,"¬¿«"
"124",1777,"2330",134,"√¿«"
"125",1970,"233001 ",134,"√¿«"
"126",1759,"2345",132,"¬¿«"
"127",1760,"2346",132,"¬¿«"
"128",1761,"2347",132,"¬¿«"
"129",1958,"23602",143,"”¿«"
"130",1863,"2362",143,"”¿«"
"131",1892,"23632",143,"”¿«"
"132",1762,"2364",132,"¬¿«"
"133",191,"24",7,"Aro"
"134",1778,"24",134,"√¿«"
"135",1779,"24-10",134,"√¿«"
"136",1691,"240",125,"Volvo"
"137",1780,"2402",134,"√¿«"
"138",1118,"240SX",85,"Nissan"
"139",576,"242",39,"Fiat"
"140",192,"243",7,"Aro"
"141",193,"244",7,"Aro"
"142",194,"245",7,"Aro"
"143",195,"246",7,"Aro"
"144",1324,"25",96,"Renault"
"145",1366,"25",99,"Rover"
"146",1692,"260",125,"Volvo"
"147",1367,"2600",99,"Rover"
"148",1781,"2705",134,"√¿«"
"149",1832,"2715",140,"»∆"
"150",1833,"2717",140,"»∆"
"151",1763,"2723",132,"¬¿«"
"152",1782,"2752",134,"√¿«"
"153",1119,"280ZX",85,"Nissan"
"154",1848,"2901",142,"ÃÓÒÍ‚Ë˜"
"155",2094,"2DX",3,"Acura"
"156",971,"3",77,"Mazda"
"157",232,"3 series",11,"BMW"
"158",1325,"30",96,"Renault"
"159",1648,"300",123,"Venturi"
"160",1051,"3000 GT",82,"Mitsubishi"
"161",372,"300C",22,"Chrysler"
"162",373,"300M",22,"Chrysler"
"163",1120,"300ZX",85,"Nissan"
"164",1254,"305",91,"Peugeot"
"165",1255,"306",91,"Peugeot"
"166",1256,"307",91,"Peugeot"
"167",545,"308",38,"Ferrari"
"168",1257,"308",91,"Peugeot"
"169",1783,"3102",134,"√¿«"
"170",1948,"310290",134,"√¿«"
"171",1784,"3103",134,"√¿«"
"172",1785,"3104",134,"√¿«"
"173",1786,"3105",134,"√¿«"
"174",1787,"3106",134,"√¿«"
"175",1788,"3110",134,"√¿«"
"176",1789,"31105",134,"√¿«"
"177",1790,"3111",134,"√¿«"
"178",1791,"3120",134,"√¿«"
"179",1792,"3129",134,"√¿«"
"180",1313,"315",95,"Proton"
"181",1864,"3150",143,"”¿«"
"182",1865,"3151",143,"”¿«"
"183",1866,"31512",143,"”¿«"
"184",1867,"31514",143,"”¿«"
"185",1969,"315148 ",143,"”¿«"
"186",1868,"31519",143,"”¿«"
"187",1870,"3153",143,"”¿«"
"188",1871,"3159",143,"”¿«"
"189",2236,"316",11,"BMW"
"190",1872,"3160",143,"”¿«"
"191",1873,"3162",143,"”¿«"
"192",1875,"3165",143,"”¿«"
"193",2278,"320",11,"BMW"
"194",955,"3200 GT",75,"Maserati"
"195",1793,"3221",134,"√¿«"
"196",972,"323",77,"Mazda"
"197",1794,"3234",134,"√¿«"
"198",2141,"325i Xdrive",11,"BMW"
"199",2242,"328",11,"BMW"
"200",546,"328",38,"Ferrari"
"201",171,"33",5,"Alfa Romeo"
"202",1795,"3302",134,"√¿«"
"203",2154,"33021",134,"√¿«"
"204",1876,"3303",143,"”¿«"
"205",1796,"3307",134,"√¿«"
"206",1797,"3308",134,"√¿«"
"207",1798,"3309",134,"√¿«"
"208",1877,"3309",143,"”¿«"
"209",1799,"3310",134,"√¿«"
"210",2275,"335 I",11,"BMW"
"211",1693,"340",125,"Volvo"
"212",547,"348",38,"Ferrari"
"213",1121,"350Z",85,"Nissan"
"214",1723,"353",127,"Wartburg"
"215",548,"355 Berlinetta",38,"Ferrari"
"216",549,"355F1",38,"Ferrari"
"217",1694,"360",125,"Volvo"
"218",550,"360 Modena",38,"Ferrari"
"219",551,"360 Spider",38,"Ferrari"
"220",552,"365",38,"Ferrari"
"221",1878,"3741",143,"”¿«"
"222",1879,"3909",143,"”¿«"
"223",1984,"390902",143,"”¿«"
"224",2178,"390944",143,"”¿«"
"225",2134,"390945",143,"”¿«"
"226",2129,"39099",143,"”¿«"
"227",1891,"390995",143,"”¿«"
"228",1880,"3962",143,"”¿«"
"229",1326,"4",96,"Renault"
"230",1521,"4 Runner",121,"Toyota"
"231",1111,"4/4",84,"Morgan"
"232",1368,"400",99,"Rover"
"233",1649,"400",123,"Venturi"
"234",1849,"400",142,"ÃÓÒÍ‚Ë˜"
"235",1258,"4007",91,"Peugeot"
"236",1998,"4008",91,"Peugeot"
"237",1850,"401",142,"ÃÓÒÍ‚Ë˜"
"238",1851,"402",142,"ÃÓÒÍ‚Ë˜"
"239",1852,"403",142,"ÃÓÒÍ‚Ë˜"
"240",2292,"403",91,"Peugeot"
"241",1259,"405",91,"Peugeot"
"242",1260,"406",91,"Peugeot"
"243",1261,"407",91,"Peugeot"
"244",1853,"407",142,"ÃÓÒÍ‚Ë˜"
"245",1854,"408",142,"ÃÓÒÍ‚Ë˜"
"246",2289,"408",91,"Peugeot"
"247",1855,"410",142,"ÃÓÒÍ‚Ë˜"
"248",1825,"4104",139,"«»À"
"249",1826,"41047",139,"«»À"
"250",553,"412",38,"Ferrari"
"251",1834,"412",140,"»∆"
"252",1856,"412",142,"ÃÓÒÍ‚Ë˜"
"253",1314,"415",95,"Proton"
"254",830,"420",58,"Jaguar"
"255",2281,"420",11,"BMW"
"256",1857,"426",142,"ÃÓÒÍ‚Ë˜"
"257",1858,"427",142,"ÃÓÒÍ‚Ë˜"
"258",1810,"43",137," ¿Ã¿«"
"259",956,"4300 GT Coupe",75,"Maserati"
"260",1695,"440",125,"Volvo"
"261",1369,"45",99,"Rover"
"262",554,"456 GT",38,"Ferrari"
"263",2175,"458 Spider",38,"Ferrari"
"264",1881,"459",143,"”¿«"
"265",1696,"460",125,"Volvo"
"266",1882,"469",143,"”¿«"
"267",1827,"4741",139,"«»À"
"268",1697,"480",125,"Volvo"
"269",973,"5",77,"Mazda"
"270",1327,"5",96,"Renault"
"271",233,"5 series",11,"BMW"
"272",577,"500",39,"Fiat"
"273",207,"5000",10,"Audi"
"274",1262,"504",91,"Peugeot"
"275",1263,"505",91,"Peugeot"
"276",555,"512 M",38,"Ferrari"
"277",1800,"52/53",134,"√¿«"
"278",2201,"520",11,"BMW"
"279",2295,"525",11,"BMW"
"280",2196,"525TD",11,"BMW"
"281",1811,"53",137," ¿Ã¿«"
"282",1992,"530",11,"BMW"
"283",1828,"5301",139,"«»À"
"284",2296,"535",11,"BMW"
"285",1812,"54",137," ¿Ã¿«"
"286",2186,"545",11,"BMW"
"287",1813,"55",137," ¿Ã¿«"
"288",556,"550 Barchetta",38,"Ferrari"
"289",557,"550 Maranello",38,"Ferrari"
"290",2006,"550i",11,"BMW"
"291",965,"57",76,"Maybach"
"292",558,"575 Maranello",38,"Ferrari"
"293",966,"57S",76,"Maybach"
"294",559,"599 GTB",38,"Ferrari"
"295",974,"6",77,"Mazda"
"296",234,"6 series",11,"BMW"
"297",507,"600",31,"Dodge"
"298",578,"600",39,"Fiat"
"299",1370,"600",99,"Rover"
"300",1646,"600",122,"Trabant"
"301",1647,"601",122,"Trabant"
"302",1264,"604",91,"Peugeot"
"303",1265,"605",91,"Peugeot"
"304",1266,"607",91,"Peugeot"
"305",1267,"608",91,"Peugeot"
"306",560,"612 Scaglietti",38,"Ferrari"
"307",1510,"613",117,"Tatra"
"308",967,"62",76,"Maybach"
"309",975,"626",77,"Mazda"
"310",968,"62S",76,"Maybach"
"311",2215,"645",11,"BMW"
"312",1814,"65",137," ¿Ã¿«"
"313",2167,"650i",11,"BMW"
"314",1801,"66",134,"√¿«"
"315",1802,"67",134,"√¿«"
"316",1803,"69",134,"√¿«"
"317",930,"7",70,"MG"
"318",1886,"7 HC TRANSPORTER",124,"Volkswagen"
"319",235,"7 series",11,"BMW"
"320",1511,"700",117,"Tatra"
"321",1959,"730",11,"BMW"
"322",1980,"735 LI",11,"BMW"
