"","car","price"
"1","Volvo XC90, 2 поколение",4889300
"2","Volvo XC90, 2 поколение",3795100
"3","Volvo V90 Cross Country, 2 поколение",3542751
"4","Volvo XC90, 2 поколение",3899000
"5","Volvo XC90, 2 поколение",3981200
"6","Kia Cee'd, 2 поколение [рестайлинг]",984900
"7","Volvo XC90, 2 поколение",3779600
"8","Volvo XC90, 2 поколение",3779600
"9","Lexus RX 200, 4 поколение",3734000
"10","Kia Soul, 2 поколение [рестайлинг]",1206900
"11","Volvo V90 Cross Country, 2 поколение",3801308
"12","Volvo XC90, 2 поколение",4034200
"13","Volvo V90 Cross Country, 2 поколение",3800578
"14","ВАЗ (Lada) 4x4, 1 поколение [2-й рестайлинг]",772900
"15","Toyota Sienna, 3 поколение [рестайлинг]",5341000
"16","ВАЗ (Lada) Vesta, 1 поколение",750900
"17","Kia Cee'd, 2 поколение [рестайлинг]",984900
"18","Volkswagen Touareg, 2 поколение [рестайлинг]",3719000
"19","Renault Kaptur, 1 поколение",1234990
"20","Kia Soul, 2 поколение [рестайлинг]",1096900
"21","Kia Cerato, 3 поколение [рестайлинг]",1104900
"22","Kia Cee'd SW, 2 поколение [рестайлинг]",1149900
"23","Kia Cee'd, 2 поколение [рестайлинг]",1094900
"24","Renault Kaptur, 1 поколение",1094990
"25","Skoda Rapid, 3 поколение [рестайлинг]",1010100
"26","Renault Kaptur, 1 поколение",1154990
"27","Porsche Cayenne, 958 [рестайлинг]",5032669
"28","Kia Cee'd SW, 2 поколение [рестайлинг]",1259900
"29","Skoda Rapid, 3 поколение",893800
"30","Hyundai Creta, 1 поколение",1083951
"31","Kia Cee'd, 2 поколение [рестайлинг]",1213900
"32","Kia Optima, 4 поколение",1289900
"33","Kia Soul, 2 поколение [рестайлинг]",981900
"34","Kia Cerato, 3 поколение [рестайлинг]",1144900
"35","Skoda Octavia, 3 поколение [рестайлинг]",1017400
"36","Skoda Yeti, 1 поколение [рестайлинг]",1108000
"37","Skoda Rapid, 3 поколение [рестайлинг]",1010100
"38","Volkswagen Polo, 5 поколение [рестайлинг]",843436
"39","Porsche Macan, 1 поколение",4656773
"40","Porsche Macan, 1 поколение",4274419
"41","Porsche Cayenne, 958 [рестайлинг]",4969065
"42","Porsche Macan, 1 поколение",6449862
"43","Porsche Cayenne, 958 [рестайлинг]",4883293
"44","Porsche Cayenne, 958 [рестайлинг]",4848601
"45","Porsche Cayenne, 958 [рестайлинг]",5036930
"46","Porsche Macan, 1 поколение",5148408
"47","Porsche Cayenne, 958 [рестайлинг]",5586995
"48","Porsche Cayenne, 958 [рестайлинг]",5129788
"49","Porsche Macan, 1 поколение",4104644
"50","Porsche Macan, 1 поколение",4361201
"51","Porsche Cayenne, 958 [рестайлинг]",4859419
"52","Porsche Cayenne, 958 [рестайлинг]",4760227
"53","Porsche Cayenne, 958 [рестайлинг]",4908641
"54","Kia Cee'd SW, 2 поколение [рестайлинг]",959900
"55","ВАЗ (Lada) Kalina, 2 поколение",431200
"56","Porsche Cayenne, 958 [рестайлинг]",5179016
"57","Porsche Cayenne, 958 [рестайлинг]",4727402
"58","Porsche Cayenne, 958 [рестайлинг]",5078700
"59","Porsche Cayenne, 958 [рестайлинг]",5293502
"60","Kia Rio, 4 поколение",807452
"61","Kia Cee'd, 2 поколение [рестайлинг]",1213900
"62","Porsche Macan, 1 поколение",5604333
"63","Porsche Boxster 718, 982",5412004
"64","Porsche Cayenne, 958 [рестайлинг]",5255835
"65","Porsche Cayenne, 958 [рестайлинг]",5025742
"66","Porsche Cayenne, 958 [рестайлинг]",5286416
"67","Renault Kaptur, 1 поколение",1094990
"68","Porsche Macan, 1 поколение",4813318
"69","Porsche Cayenne, 958 [рестайлинг]",4957123
"70","Porsche Cayenne, 958 [рестайлинг]",4834430
"71","Skoda Yeti, 1 поколение [рестайлинг]",1116000
"72","Porsche Macan, 1 поколение",3776553
"73","Volkswagen Polo, 5 поколение [рестайлинг]",730586
"74","Honda Pilot, 3 поколение",3190000
"75","Porsche Macan, 1 поколение",4985000
"76","Kia Rio, 4 поколение",791815
"77","Skoda Octavia, 3 поколение [рестайлинг]",1204700
"78","Toyota Sequoia, 2 поколение",6500000
"79","Volkswagen Tiguan, 1 поколение [рестайлинг]",2138135
"80","Porsche Macan, 1 поколение",4198041
"81","ВАЗ (Lada) XRAY, 1 поколение",788900
"82","ВАЗ (Lada) Vesta, 1 поколение",737900
"83","Volvo XC90, 2 поколение",4464000
"84","Skoda Yeti, 1 поколение [рестайлинг]",1188700
"85","ВАЗ (Lada) Granta, 1 поколение",423700
"86","УАЗ 452 3909, 2 поколение",465591
"87","ВАЗ (Lada) Granta, 1 поколение",589900
"88","Volkswagen Polo, 5 поколение [рестайлинг]",859061
"89","Porsche Macan, 1 поколение",4200000
"90","ВАЗ (Lada) Granta, 1 поколение",394900
"91","ВАЗ (Lada) Granta, 1 поколение",412900
"92","ВАЗ (Lada) Vesta, 1 поколение",750900
"93","ВАЗ (Lada) Granta, 1 поколение",369900
"94","ВАЗ (Lada) Granta, 1 поколение",495200
"95","ВАЗ (Lada) Largus, 1 поколение",501900
"96","Skoda Yeti, 1 поколение [рестайлинг]",1250700
"97","Kia Rio, 4 поколение",957852
"98","ВАЗ (Lada) Kalina, 2 поколение",564700
"99","ВАЗ (Lada) Kalina, 2 поколение",471000
"100","Toyota Fortuner, 2 поколение",2630000
"101","Volkswagen Touareg, 2 поколение [рестайлинг]",3864643
"102","ВАЗ (Lada) Priora, 1 поколение [рестайлинг]",428900
"103","ВАЗ (Lada) 4x4, 1 поколение [2-й рестайлинг]",453900
"104","Audi A3, 8V [рестайлинг]",1465000
"105","Audi A3, 8V [рестайлинг]",1465000
"106","Audi A3, 8V [рестайлинг]",1465000
"107","Audi A3, 8V [рестайлинг]",1465000
"108","Audi A3, 8V [рестайлинг]",1465000
"109","Audi A3, 8V [рестайлинг]",1465000
"110","Audi A3, 8V [рестайлинг]",1465000
"111","Audi A3, 8V [рестайлинг]",1584137
"112","BMW 1 серия 118, F20/F21 [рестайлинг]",1580000
"113","Audi A3, 8V [рестайлинг]",1465000
"114","Audi A3, 8V [рестайлинг]",1534490
"115","Nissan Terrano, 5 поколение",1100000
"116","BMW 1 серия 118, F20/F21 [рестайлинг]",1385000
"117","Kia Cerato, 3 поколение [рестайлинг]",1120000
"118","Toyota RAV4, 4 поколение [рестайлинг]",1648000
"119","Toyota RAV4, 4 поколение [рестайлинг]",1450000
"120","Toyota RAV4, 4 поколение [рестайлинг]",1648000
"121","Toyota RAV4, 4 поколение [рестайлинг]",1648000
"122","Skoda Rapid, 3 поколение",967300
"123","Kia Sportage, 4 поколение",1669900
"124","Honda CR-V, 4 поколение [рестайлинг]",1694900
"125","Kia Cerato, 3 поколение [рестайлинг]",1070000
"126","Hyundai Elantra, AD",1369055
"127","Volkswagen Touareg, 2 поколение [рестайлинг]",3698500
"128","Porsche Boxster 718, 982",4467500
"129","Kia Sportage, 4 поколение",1514900
"130","Porsche Cayman 718, 982",4995455
"131","Volkswagen Touareg, 2 поколение [рестайлинг]",3796500
"132","Land Rover Range Rover Evoque, 1 поколение [рестайлинг]",2768832
"133","Skoda Octavia, 3 поколение [рестайлинг]",1269400
"134","Kia Soul, 2 поколение [рестайлинг]",1376900
"135","Hyundai Solaris, 2 поколение",769900
"136","Skoda Octavia, 3 поколение [рестайлинг]",1204700
"137","Porsche Cayenne, 958 [рестайлинг]",4860909
"138","Kia Sportage, 4 поколение",1604900
"139","Kia Sportage, 4 поколение",1554900
"140","Kia Sportage, 4 поколение",1554900
"141","Kia Sportage, 4 поколение",1604900
"142","Porsche Cayenne, 958 [рестайлинг]",4950000
"143","Kia Sportage, 4 поколение",1634900
"144","Porsche Boxster 718, 982",5672009
"145","Kia Sportage, 4 поколение",1634900
"146","Porsche Cayenne, 958 [рестайлинг]",5237563
"147","Porsche Cayenne, 958 [рестайлинг]",4886267
"148","Kia Sportage, 4 поколение",1464900
"149","Mitsubishi Pajero Sport, 3 поколение",2420990
"150","Kia Optima, 4 поколение",1449900
"151","Hyundai Solaris, 2 поколение",799900
"152","Kia Sportage, 4 поколение",1624900
"153","Dodge Ram",4861000
"154","Hyundai Elantra, AD",1222000
"155","Kia Sorento, 2 поколение [рестайлинг]",1634900
"156","Kia Rio, 4 поколение",901452
"157","Skoda Rapid, 3 поколение",751700
"158","Volkswagen Polo, 5 поколение [рестайлинг]",716649
"159","Land Rover Range Rover Evoque, 1 поколение [рестайлинг]",2602343
"160","Volkswagen Caddy Kombi, 4 поколение",1433000
"161","Kia Rio, 4 поколение",792051
"162","Porsche Boxster 718, 982",4858522
"163","Mercedes-Benz GLS-Класс 350, X166",5589000
"164","ВАЗ (Lada) XRAY, 1 поколение",805900
"165","Volkswagen Caddy Kombi, 4 поколение",1667000
"166","Porsche Cayenne, 958 [рестайлинг]",5154774
"167","Porsche Cayenne, 958 [рестайлинг]",5772335
"168","Volkswagen Tiguan, 1 поколение [рестайлинг]",2072702
"169","Porsche Cayenne, 958 [рестайлинг]",5105175
"170","Porsche Cayenne, 958 [рестайлинг]",5078700
"171","Dodge Ram",5022000
"172","Kia Sportage, 4 поколение",1379900
"173","Skoda Yeti, 1 поколение [рестайлинг]",1416300
"174","Kia Optima, 4 поколение",1449900
