"","name","price","year"
"1","Acura CSX  ","888 888 руб","2010"
"2","Acura MDX 3.7 AT 300 л.с. 4WD","725 000 руб","2007"
"3","Acura MDX ","720 700 руб","2007"
"4","Acura MDX ","549 000 руб","2005"
"5","Acura MDX 3.5 AT 265 л.с. 4WD","479 000 руб","2004"
"6","Acura MDX 3.5 AT 260 л.с. 4WD","449 000 руб","2004"
"7","Acura MDX 3.5 AT 260 л.с. 4WD","440 000 руб","2004"
"8","Acura MDX 1 поколение 3.5 AT 4WD (240 л.с.) ","390 000 руб","2001"
"9","Acura RDX 2 поколение 3.5 AT AWD (273 л.с.) Texnologi","1 855 000 руб","2015"
"10","Acura RDX ","699 000 руб","2008"
"11","Acura TSX  ","500 000 руб","2007"
"12","Alfa Romeo 146 930 1.9 TD MT (105 л.с.) ","190 000 руб","1999"
"13","Alfa Romeo MiTo  ","430 000 руб","2010"
"14","Alpina B11  ","98 000 руб","2006"
"15","Alpina B7 4.4 AT 507 л.с. 4WD","2 799 999 руб","2011"
"16","Aston Martin DB9 5.9 AT 450 л.с.","1 985 000 руб","2005"
"17","Aston Martin Vantage 4.7 AMT 426 л.с.","3 600 000 руб","2009"
"18","Audi 100 ","450 000 руб","1992"
"19","Audi 100 ","220 000 руб","1992"
"20","Audi 100 ","170 000 руб","1993"
"21","Audi 100 седан","140 000 руб","1992"
"22","Audi 100  ","140 000 руб","1994"
"23","Audi 100  ","140 000 руб","1991"
"24","Audi 100  ","130 000 руб","1991"
"25","Audi 100  ","130 000 руб","1992"
"26","Audi 100 4A/C4 2.0 MT (101 л.с.) ","120 000 руб","1991"
"27","Audi 100  ","38 000 руб","1990"
"28","Audi 100  ","25 000 руб","1983"
"29","Audi 80 8C/B4 2.0 MT (115 л.с.) ","160 000 руб","1992"
"30","Audi 80  ","140 000 руб","1987"
"31","Audi 80  ","135 000 руб","1990"
"32","Audi 80 8C/B4 2.0 MT (115 л.с.) В4","128 000 руб","1992"
"33","Audi 80 8C/B4 2.0 MT (115 л.с.) ","125 000 руб","1993"
"34","Audi 80 8A/B3 2.0 E MT (113 л.с.) ","70 000 руб","1991"
"35","Audi 90 89/B3 2.0 MT (115 л.с.) ","80 000 руб","1987"
"36","Audi A1 ","1 035 000 руб","2016"
"37","Audi A1 1.4 AMT 185 л.с.","679 600 руб","2011"
"38","Audi A1 ","630 000 руб","2011"
"39","Audi A1 ","629 000 руб","2014"
"40","Audi A1 ","627 000 руб","2012"
"41","Audi A1 ","550 000 руб","2012"
"42","Audi A1 ","499 000 руб","2011"
"43","Audi A1 ","479 000 руб","2012"
"44","Audi A1  Sport","465 000 руб","2010"
"45","Audi A3 ","1 699 000 руб","2017"
"46","Audi A3 ","1 590 000 руб","2016"
"47","Audi A3 ","1 590 000 руб","2016"
"48","Audi A3 ","1 590 000 руб","2016"
"49","Audi A3 ","1 590 000 руб","2016"
"50","Audi A3 ","1 290 000 руб","2016"
"51","Audi A3 ","1 250 000 руб","2015"
"52","Audi A3 ","1 070 000 руб","2015"
"53","Audi A3  ","1 030 000 руб","2014"
"54","Audi A3 ","930 000 руб","2013"
"55","Audi A3  ","930 000 руб","2013"
"56","Audi A3  ","920 000 руб","2015"
"57","Audi A3 ","912 600 руб","2014"
"58","Audi A3  ","900 000 руб","2013"
"59","Audi A3 ","900 000 руб","2014"
"60","Audi A3 ","860 000 руб","2013"
"61","Audi A3  ","850 000 руб","2013"
"62","Audi A3 ","850 000 руб","2014"
"63","Audi A3 ","815 000 руб","2014"
"64","Audi A3 1.4 AT 122 л.с.","794 000 руб","2014"
"65","Audi A3 ","775 000 руб","2011"
"66","Audi A3 1.8 AT 180 л.с. 4WD","755 000 руб","2012"
"67","Audi A3 ","730 000 руб","2013"
"68","Audi A3 ","720 000 руб","2013"
"69","Audi A3 ","689 000 руб","2014"
